Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 14:55:00,,13.3656650774,,,,,,,,SLR-152A,14.894,,,,,,,,,,,
2017-04-28 14:55:00,,,,,,2.125,3.212,,,SLR-152A,,-1.087,,,,,,,,,,
2017-05-10 08:30:00,,18.7321821161,,,,,,,,SLR-152A,15.965,,0.34,0.34,6.0,40.0,0.152,0.152,0.152,0.152,0.152,0.152
2017-05-10 08:30:00,,,,,,2.183555,3.468,,,SLR-152A,,-1.284445,0.34,0.34,6.0,40.0,0.152,0.152,0.152,0.152,0.152,0.152
2017-05-25 08:30:00,,12.4504168903,,,,,,,,SLR-152A,9.244,,0.95,0.95,6.0,40.0,1.979,1.979,1.979,1.979,1.979,1.979
2017-05-25 08:30:00,,,,,,1.75,4.082,,,SLR-152A,,-2.332,0.95,0.95,6.0,40.0,1.979,1.979,1.979,1.979,1.979,1.979
2017-06-07 10:05:00,,15.8820085603,,,,,,,,SLR-152A,7.63,,1.13,1.13,6.0,40.0,3.121,3.121,3.121,3.121,3.121,3.121
2017-06-07 10:05:00,,,,,,1.625,4.264,,,SLR-152A,,-2.639,1.13,1.13,6.0,40.0,3.121,3.121,3.121,3.121,3.121,3.121
2017-06-19 10:15:00,,11.0635149452,,,,,,,,SLR-152A,6.302,,1.33,1.33,6.0,40.0,4.676,4.676,4.676,4.676,4.676,4.676
2017-06-19 10:15:00,,,,,,1.5,-0.121,,,SLR-152A,,1.621,1.33,1.33,6.0,40.0,4.676,4.676,4.676,4.676,4.676,4.676
2017-07-06 11:15:00,,9.90019234382,,,,,,,,SLR-152A,9.244,,1.2,1.2,6.0,40.0,3.623,3.623,3.623,3.623,3.623,3.623
2017-07-06 11:15:00,,9.32655315021,,,,,,,,SLR-152A,9.244,,1.2,1.2,6.0,40.0,3.623,3.623,3.623,3.623,3.623,3.623
2017-07-06 11:15:00,,8.90681956997,,,,,,,,SLR-152A,9.244,,1.2,1.2,6.0,40.0,3.623,3.623,3.623,3.623,3.623,3.623
2017-07-06 11:15:00,,,,,,1.75,4.325,,,SLR-152A,,-2.575,1.2,1.2,6.0,40.0,3.623,3.623,3.623,3.623,3.623,3.623
2017-07-06 11:15:00,,,,,,1.75,4.325,,,SLR-152A,,-2.575,1.2,1.2,6.0,40.0,3.623,3.623,3.623,3.623,3.623,3.623
2017-07-06 11:15:00,,,,,,1.75,4.325,,,SLR-152A,,-2.575,1.2,1.2,6.0,40.0,3.623,3.623,3.623,3.623,3.623,3.623
2017-07-06 11:15:00,,,,,,1.75,4.325,,,SLR-152A,,-2.575,1.2,1.2,6.0,40.0,3.623,3.623,3.623,3.623,3.623,3.623
2017-07-06 11:15:00,,,,,,1.75,4.325,,,SLR-152A,,-2.575,1.2,1.2,6.0,40.0,3.623,3.623,3.623,3.623,3.623,3.623
2017-07-06 11:15:00,,,,,,1.75,4.325,,,SLR-152A,,-2.575,1.2,1.2,6.0,40.0,3.623,3.623,3.623,3.623,3.623,3.623
2017-07-06 11:15:00,,,,,,1.75,4.325,,,SLR-152A,,-2.575,1.2,1.2,6.0,40.0,3.623,3.623,3.623,3.623,3.623,3.623
2017-07-06 11:15:00,,,,,,1.75,4.325,,,SLR-152A,,-2.575,1.2,1.2,6.0,40.0,3.623,3.623,3.623,3.623,3.623,3.623
2017-07-06 11:15:00,,,,,,1.75,4.325,,,SLR-152A,,-2.575,1.2,1.2,6.0,40.0,3.623,3.623,3.623,3.623,3.623,3.623
2017-07-20 13:00:00,,7.5065718962,,,,,,,,SLR-152A,7.059,,1.36,1.36,6.0,40.0,4.942,4.942,4.942,4.942,4.942,4.942
2017-07-20 13:00:00,,,,,,1.57480314961,4.494,,,SLR-152A,,-2.91919685039,1.36,1.36,6.0,40.0,4.942,4.942,4.942,4.942,4.942,4.942
2017-08-03 10:40:00,,8.12836304841,,,,,,,,SLR-152A,10.613,,5.03,,6.0,40.0,128.276,,128.276,,128.276,
2017-08-03 10:40:00,,,,,,1.85039370079,8.16,,,SLR-152A,,-6.30960629921,5.03,,6.0,40.0,128.276,,128.276,,128.276,
2017-08-03 10:55:00,,0.0,,,,,,,,SLR-152A,10.613,,1.64,1.64,6.0,40.0,7.866,7.866,7.866,7.866,7.866,7.866
2017-08-03 10:55:00,,,,,,1.85039370079,4.771,,,SLR-152A,,-2.92060629921,1.64,1.64,6.0,40.0,7.866,7.866,7.866,7.866,7.866,7.866
2017-08-17 14:05:00,,8.21867819339,,,,,,,,SLR-152A,8.476,,1.48,1.48,6.0,40.0,6.096,6.096,6.096,6.096,6.096,6.096
2017-08-17 14:05:00,,,,,,1.69291338583,4.605,,,SLR-152A,,-2.91208661417,1.48,1.48,6.0,40.0,6.096,6.096,6.096,6.096,6.096,6.096
2017-08-17 14:15:00,,0.0,,,,,,,,SLR-152A,8.476,,1.44,1.44,6.0,40.0,5.695,5.695,5.695,5.695,5.695,5.695
2017-08-17 14:15:00,,,,,,1.69291338583,4.566,,,SLR-152A,,-2.87308661417,1.44,1.44,6.0,40.0,5.695,5.695,5.695,5.695,5.695,5.695
2017-08-29 12:55:00,,0.0,,,,,,,,SLR-152A,8.476,,1.65,1.65,6.0,40.0,7.986,7.986,7.986,7.986,7.986,7.986
2017-08-29 12:55:00,,,,,,1.69291338583,4.78,,,SLR-152A,,-3.08708661417,1.65,1.65,6.0,40.0,7.986,7.986,7.986,7.986,7.986,7.986
2017-09-19 13:15:00,,11.09059448,,,,,,,,SLR-152A,10.052,,1.89,1.89,6.0,40.0,11.193,11.193,11.193,11.193,11.193,11.193
2017-09-19 13:15:00,,,,,,1.81102362205,5.015,,,SLR-152A,,-3.20397637795,1.89,1.89,6.0,40.0,11.193,11.193,11.193,11.193,11.193,11.193
2017-09-19 13:25:00,,0.0,,,,,,,,SLR-152A,10.052,,1.89,1.89,6.0,40.0,11.193,11.193,11.193,11.193,11.193,11.193
2017-09-19 13:25:00,,,,,,1.81102362205,,,,SLR-152A,,,1.89,1.89,6.0,40.0,11.193,11.193,11.193,11.193,11.193,11.193
2018-05-14 09:45:00,,9.14440842946,,,,,,,,SLR-152H,,,1.61,1.61,6.0,40.0,7.514,7.514,7.514,7.514,7.514,7.514
2018-05-14 09:45:00,2018-05-14 09:50:00,,,,,1.69291338583,,,8.476,SLR-152H,,,1.61,1.61,6.0,40.0,7.514,7.514,7.514,7.514,7.514,7.514
2018-05-25 13:40:00,,8.83088585474,,,,,,,,SLR-152H,,,1.62,1.62,6.0,40.0,7.63,7.63,7.63,7.63,7.63,7.63
2018-05-25 13:40:00,2018-05-25 13:45:00,,,,,1.57480314961,5.901,,7.059,SLR-152H,,-4.32619685039,1.62,1.62,6.0,40.0,7.63,7.63,7.63,7.63,7.63,7.63
2018-06-12 13:45:00,,7.7270251229,,,,,,,,SLR-152H,,,1.59,1.59,6.0,40.0,7.284,7.284,7.284,7.284,7.284,7.284
2018-06-12 13:45:00,2018-06-12 13:50:00,,,,,1.37795275591,5.879,,5.124,SLR-152H,,-4.50104724409,1.59,1.59,6.0,40.0,7.284,7.284,7.284,7.284,7.284,7.284
2018-06-26 15:15:00,,5.76374834342,,,,,,,,SLR-152H,,,1.49,1.49,6.0,40.0,6.199,6.199,6.199,6.199,6.199,6.199
2018-06-26 15:15:00,2018-06-26 15:20:00,,,,,1.33858267717,5.78,,4.763,SLR-152H,,-4.44141732283,1.49,1.49,6.0,40.0,6.199,6.199,6.199,6.199,6.199,6.199
2018-07-10 11:05:00,,10.1894836785,,,,,,,,SLR-152H,,,1.85,1.85,6.0,40.0,10.613,10.613,10.613,10.613,10.613,10.613
2018-07-10 11:05:00,2018-07-10 11:10:00,,,,,1.85039370079,6.132,,10.613,SLR-152H,,-4.28160629921,1.85,1.85,6.0,40.0,10.613,10.613,10.613,10.613,10.613,10.613
2018-07-23 14:25:00,,5.34947893124,,,,,,,,SLR-152H,,,1.44,1.44,6.0,40.0,5.695,5.695,5.695,5.695,5.695,5.695
2018-07-23 14:25:00,2018-07-23 14:30:00,,,,1.37795275591,1.37795275591,5.725,5.124,5.124,SLR-152H,,-4.34704724409,1.44,1.44,6.0,40.0,5.695,5.695,5.695,5.695,5.695,5.695
2018-08-06 11:35:00,,12.4973581869,,,,,,,,SLR-152H,,,1.82,1.82,6.0,40.0,10.191,10.191,10.191,10.191,10.191,10.191
2018-08-06 11:35:00,2018-08-06 11:40:00,,,,,1.81102362205,6.11,,10.052,SLR-152H,,-4.29897637795,1.82,1.82,6.0,40.0,10.191,10.191,10.191,10.191,10.191,10.191
2018-08-21 15:00:00,,5.93254383062,,,,,,,,SLR-152H,,,1.32,1.32,6.0,40.0,4.589,4.589,4.589,4.589,4.589,4.589
2018-08-21 15:00:00,2018-08-21 15:05:00,,,,,1.37795275591,5.604,,5.124,SLR-152H,,-4.22604724409,1.32,1.32,6.0,40.0,4.589,4.589,4.589,4.589,4.589,4.589
2018-09-18 09:50:00,,11.8348965985,,,,,,,,SLR-152H,,,1.52,1.52,6.0,40.0,6.513,6.513,6.513,6.513,6.513,6.513
2018-09-18 09:50:00,2018-09-18 09:55:00,,,,,1.77165354331,5.802,,9.509,SLR-152H,,-4.03034645669,1.52,1.52,6.0,40.0,6.513,6.513,6.513,6.513,6.513,6.513
2018-09-27 02:40:00,2018-09-27 02:45:00,,,,,1.57480314961,5.89,,7.059,SLR-152H,,-4.31519685039,1.6,1.6,6.0,40.0,7.398,7.398,7.398,7.398,7.398,7.398
2018-09-27 14:40:00,2018-09-27 14:45:00,,,,,1.57480314961,5.659,,7.059,SLR-152H,,-4.08419685039,1.37,1.37,6.0,40.0,5.032,5.032,5.032,5.032,5.032,5.032
