Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-05-13 12:20:00,,0.19548728,,,,,,,,,0.35,0.35,6.0,28.5,0.163,0.163,0.163,0.163,0.163,0.163
2016-05-24 10:20:00,,5.4283839292,,,,,,,,,1.27,1.27,6.0,28.5,4.17,4.17,4.17,4.17,4.17,4.17
2016-06-21 12:05:00,,2.15564352,,,,,,,,,1.34,1.34,6.0,28.5,4.763,4.763,4.763,4.763,4.763,4.763
2016-07-22 14:05:00,,0.522723319149,,,,,,,,,0.89,0.89,6.0,28.5,1.681,1.681,1.681,1.681,1.681,1.681
2016-08-05 11:00:00,,0.5613655,,,,,,,,,1.1,1.1,6.0,28.5,2.92,2.92,2.92,2.92,2.92,2.92
2016-08-25 11:05:00,,0.968330129693,,,,,,,,,1.01,1.01,6.0,28.5,2.364,2.364,2.364,2.364,2.364,2.364
2016-09-23 12:25:00,,0.0,,,,,,,,,0.62,0.62,6.0,28.5,0.681,0.681,0.681,0.681,0.681,0.681
2016-10-03 13:40:00,,3.5586276699,,,,,,,,,,,,,,,,,,
2017-04-28 11:40:00,,0.327573030851,,,,,,SLR-045,0.398,,,,,,,,,,,
2017-05-10 17:10:00,,0.0,,,,,,SLR-045,0.0,,,-0.45,6.0,28.5,,,,,,
2017-05-24 13:05:00,,0.0,,,,,,SLR-045,0.0,,,-0.45,6.0,28.5,,,,,,
2017-06-07 11:50:00,,0.0,,,,,,SLR-045,0.0,,,-0.45,6.0,28.5,,,,,,
2017-06-19 11:55:00,,2.47264803933,,,,,,SLR-045,1.096,,0.34,0.34,6.0,28.5,0.152,0.152,0.152,0.152,0.152,0.152
2017-07-06 14:00:00,,3.47755024184,,,,,,SLR-045,2.306,,0.17,0.17,6.0,28.5,0.027,0.027,0.027,0.027,0.027,0.027
2017-07-06 14:00:00,,3.77575573862,,,,,,SLR-045,2.306,,0.17,0.17,6.0,28.5,0.027,0.027,0.027,0.027,0.027,0.027
2017-07-06 14:00:00,,3.60847436181,,,,,,SLR-045,2.306,,0.17,0.17,6.0,28.5,0.027,0.027,0.027,0.027,0.027,0.027
2017-07-14 15:10:00,,5.52119060063,,,,,,SLR-045,3.475,,0.95,0.95,6.0,28.5,1.979,1.979,1.979,1.979,1.979,1.979
2017-07-20 12:10:00,,0.0,,,,,,SLR-045,0.035,,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-03 09:30:00,,1.6074883523,,,,,,SLR-045,1.209,,0.51,,6.0,28.5,0.418,,0.418,,0.418,
2017-08-03 09:45:00,,0.83362570601,,,,,,SLR-045,0.601,,0.39,,6.0,28.5,0.214,,0.214,,0.214,
2017-08-17 11:40:00,,0.169069951407,,,,,,SLR-045,0.214,,0.36,0.36,6.0,28.5,0.175,0.175,0.175,0.175,0.175,0.175
2017-08-17 11:55:00,,0.0,,,,,,SLR-045,0.214,,0.21,0.21,6.0,28.5,0.045,0.045,0.045,0.045,0.045,0.045
2017-08-29 11:15:00,,0.163786515425,,,,,,SLR-045,0.035,,0.25,0.25,6.0,28.5,0.07,0.07,0.07,0.07,0.07,0.07
2017-08-29 11:25:00,,1.91524554328,,,,,,SLR-045,1.209,,0.8,0.8,6.0,28.5,1.288,1.288,1.288,1.288,1.288,1.288
2017-08-29 11:35:00,,1.55531146704,,,,,,SLR-045,0.922,,0.76,0.76,6.0,28.5,1.133,1.133,1.133,1.133,1.133,1.133
2017-08-29 11:40:00,,0.0,,,,,,SLR-045,0.796,,0.6,0.6,6.0,28.5,0.627,0.627,0.627,0.627,0.627,0.627
2017-09-19 10:50:00,,0.0105668719629,,,,,,SLR-045,0.035,,0.37,0.37,6.0,28.5,0.187,0.187,0.187,0.187,0.187,0.187
2017-09-19 11:10:00,,0.0,,,,,,SLR-045,0.035,,0.33,0.33,6.0,28.5,0.141,0.141,0.141,0.141,0.141,0.141
2017-10-05 10:40:00,,0.0,,,,,,SLR-045,0.0,,,,,,,,,,,
2018-05-14 11:05:00,,0.0,,,,,,SLR-045,,,,,6.0,28.5,,,,,,
2018-05-22 16:20:00,,0.0,,,,,,SLR-045,,,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25 11:05:00,,0.0,,,,,,SLR-045,,,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-10 09:40:00,,0.0845349757035,,,,,,SLR-045,,,0.52,0.52,6.0,28.5,0.439,0.439,0.439,0.439,0.439,0.439
2018-07-10 09:45:00,,2.08935877449,,,,,,SLR-045,,,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 10:10:00,,0.0,,,,,,SLR-045,,,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 08:50:00,,3.73803095689,,,,,,SLR-045,,,1.12,1.12,6.0,28.5,3.053,3.053,3.053,3.053,3.053,3.053
2018-08-06 08:50:00,,3.73803095689,,,,,,SLR-045,,,1.12,1.12,6.0,28.5,3.053,3.053,3.053,3.053,3.053,3.053
